,Quotes,Characters
1570,I give up Youre gonna get yourself killed and this time I wont be here to save you,Leela
1571,Who asked you to I told you a hundred times to stop treating me like a baby Now go Go gather your nuts you nagging grasshopper,Fry
1572,Thats it Im never helping you again If anyone except you needs me Ill be in the ship,Leela
1573,Ill be fine Its not like anyones gonna drink me  Quit it,Fry
1577,Right I Fry who drank Bont the Viscous who drank Ungo the Moist who guzzled Zorn the Stagnant,Fry
1578,Who slurped Hudge the Dewy who enjoyed a soup composed principally of Throm the Chunky do solemnly swear to rule with honour and insanity Uh integrity,Fry
1593,But wont that crush my bones,Fry
1597,I could vomit or urinate Would you feel better about that,Fry
1600,Thats a great idea Crying,Fry
1604,Its no use I wanna cry but Im just too macho,Fry
1606,What do you mean I was Emperor of a whole planet,Fry
1610,Phew Thats a load off my mind,Fry
1616,Shell never help me Shes still mad that I told her never to help me,Fry
1625,I dont know why I should I mean after what he,Leela
1632,This is the saddest day of my life And I still cant cry,Fry
1635,I cant believe it Shes risking her life for me after the way I treated her I dont deserve this I feel terrible,Fry
1644,All Leela ever wanted to do was help me But I was to proud too stupid to accept it  I wish I had died instead of her,Fry
1645,What are you talking about,Leela
1652,Listen Fry I think I can get us out of this if youre willing to let me help you,Leela
1653,Thanks Leela From now on Ill take all the help youre willing to give I know you just want whats best for me  That hurt,Fry
1654,I know Amy get the bottle,Leela
1656,Come on Everybody help out Fry,Leela
1657,Thanks everybody I love you all You guys are true Ow Cut it out Bender Thats a tender area,Fry
1661,Hey wait a minute Who are you,Fry
1674,Sounds like fun How long do I have left to live,Fry
1696,Dont worry Professor its no competition for your death clock,Fry
1716,No Professor dont give up There were plenty of times in my century when I was gonna give up but I never did Never Hey are you even listening to me Oh I give up,Fry
1719,Did you build the Smellescope,Fry
1721,Smells like strawberries,Fry
1723,Pine needles Oh man this is great Hey as long as you dont make me smell Uranus,Fry
1728,No no I think Ill just smell around a bit over here  Hmm,Fry
1734,So this things gonna destroy the whole city  What the heck is it,Fry
1737,Wow You got that off the Internet  In my day the Internet was only used to download pornography,Fry
1742,Fry what the hell were you people thinking back then How could you just throw your garbage away,Leela
1743,Hey gimmie a break What do you do with it,Fry
1744,We recycle everything Robots are made from old beer cans,Leela
1746,And that sandwich youre eating is made of old discarded sandwiches  Nothing just gets thrown away,Leela
1747,The future is disgusting,Fry
1748,Typical 20th century attitude,Leela
1749,Hey You have no right to criticise the 20th century We gave the world the lightbulb the steamboat and the cotton gin,Fry
1750,Those things are all from the 19th century,Leela
1751,Yeah well they probably just copied us,Fry
1772,Cant we just shoot a missile at it,Leela
1783,Odour at magnitude 8  Were breaking up Turn on the antismell device,Leela
1787,Its not filth Its a glorious monument to the achievements of the 20th century  Some Bart Simpson dolls,Fry
1790,Fry this stuff was garbage when it was new Lets blow it up already,Leela
1791,This junk isnt garbage I can dig in any random pile and find something great,Fry
1792,Alright lets get to work,Fry
1793,Lets see If thats Hypodermic Ridge then the bomb must go right here  6h minutes,Leela
1795,That idiot It wasnt set for 25 minutes it was set for 52 seconds,Leela
1799,Hey watch it Youll put somebodys eye out,Leela
1802,Yeah but this garbage balls unstoppable now New New York is done for,Leela
1806,No its my fault too Im sure I threw out more than my share of that trash up there Also one month my toilet broke and it just went straight in the garbage can  Leela was right The people of the 20th century were idiotic slobs Especially me,Fry
1822,But where can we find a substance the exact density and consistency as garbage,Leela
1827,Then its time to make some more,Fry
1829,Stand back and watch the master This Slurm can  Pure garbage Now you try it,Fry
1833,People of New New York take a lesson from the 20th century Stop all this painintheass recycling and throw your garbage on the floor,Fry
1834,Go ahead Just chuck it any old place like I used to Your city is counting on you,Fry
1839,Just fire the damn thing,Leela
1847,Should we really be celebrating I mean what if the second garbage ball returns to Earth like the first one did,Leela
1848,Who cares That wont be for hundreds of years,Fry
1850,Thats the 20th century spirit,Fry
1851,This is awesome Ive been waiting a thousand years to see a Beastie Boys show,Fry
1856,Impressive Theyre busting mad rhymes with an 80 success rate,Leela
1858,Will you guys shut up Im trying to look cool,Fry
1861,Wow An oldfashioned mosh pit Come on guys Tonight were gonna party like its 1999  again,Fry
1864,Man these guys rock harder than ever,Fry
1877,Wow I love you guys Back in the 20th century I had all five of your albums,Fry
1879,Cool Can I borrow the new ones And a couple of blank tapes,Fry
1890,Hey uh Bender What are we doing in this bad neighbourhood,Fry
1901,If I didnt know better Id almost think he was abusing electricity,Leela
1902,Bender No way  I definitely wouldve noticed something,Fry
1903,Bender why are you spending so much time in the bathroom Are you jacking on in there,Leela
1907,I know Big Vinnie said he was giving me the kiss of death but I still think he was gay,Fry
1909,A little  You OK Bender,Fry
1911,Uhoh There seems to be some sort of electrical disturbance in the Coalsack Nebula,Leela
1913,Electrical Anyway its going to take some careful piloting to avoid it,Leela
1914,Were out of control Were heading straight into the electric field,Leela
1915,Whats happening II feel weird,Fry
1918,Bender we didnt mind your drinking or your kleptomania or your pornography ring,Leela
1920,But this electricity abuse crossed the line You almost killed us,Leela
1921,And you made me feel like a jerk for trusting you Just like when my friend Richie swore he wasnt taking drugs and then he sold me my moms VCR and then later I found out he was taking drugs You make me ashamed to be your friend,Fry
1934,Great Hes whacked out on electricity again,Fry
1936,Religion Is this another scam to get free yarmulkes,Fry
1937,Give him a break Fry If this helps Bender clean up his act then I think we should be supportive,Leela
1950,This is unbelievable The old Bender never would have taken us out to dinner,Leela
1957,Does that mean we can eat now,Fry
1959,Oh uh but I dont want to,Fry
1961,What are you doing to my ship,Leela
1963,Benders stupid religion is driving me nuts,Fry
1966,Weve got to get the old Bender back,Fry
1967,And I think I know a way to do it We have to reacquaint him with a little thing called sleaze,Leela
1973,Whoa whoa whoa wait Bender So long as were here why dont we take in some exotic dancing,Fry
1976,Come on itll be fun Maybe we could even drink a little fortified wine,Fry
1978,Hey Bender look at that womans purse Its hanging by a spaghetti strand,Leela
1980,And theres Hookerbot 5000 Shes got a heart of solid gold,Fry
1983,Pfft Thats for losers Cmon sin your heart out,Fry
1987,Go for it Bender You know you wanna,Fry
1990,Looks like we got the old Bender back,Fry
1994,What in hell happened to Bender,Leela
1995,Well he didnt check out The ashtrays still here  Look Nibblers caught the scent of vodka and motor oil Go boy Follow that stench,Fry
2002,Wait I remember this place They shut it down after all those people caught salmonella from the flume ride,Fry
2003,Hmm Look Its the symbol of Benders old religion,Leela
2004,Unbelievable Its an actual factual Robot Hell,Fry
2005,Who wouldve thought hell would really exist And that it would be in New Jersey,Leela
2023,Its up to us to rescue him,Leela
2024,Maybe he likes it here in Hell,Fry
2025,Its us who tempted him to sin,Leela
2026,Maybe hes back at the motel,Fry
2027,"Come on Fry dont be scared
Im sure at least one of us will be spared
So just sit back enjoy the ride",Leela
2028,My ass has blisters from the slide,Fry
2034,Alright Beelzebot whatll it take to get our friend back,Leela
2036,Wait What fiddle contest,Leela
2038,Wouldnt a solid gold fiddle weigh hundreds of pounds and sound crummy,Fry
2040,Do you know how to play the fiddle,Leela
2042,What happens if we lose,Leela
2055,Uh do you think you could be just little less evil than that,Leela
2059,That was the worst delivery ever,Leela
2060,Yeah Im never going to another planet called Cannibalon,Fry
2067,This is great I havent had time off since I was 21 through 24,Fry
2072,Hey uh wheres my suitcase  Ow,Fry
2074,Oh God Not Zapp Brannigan,Leela
2076,Lets just say weve crossed paths,Leela
2080,Its tempting but uh I have a fiancé now Uh hmm uh hmm uh we uh   Him Fry darling meet Zapp Brannigan,Leela
2085,Man first class seems nice,Fry
2089,Well at least we get a window,Fry
2092,I guess that just leaves you and your fake fianc  all alone  on a romantic cruise,Fry
2093,Take it off or Ill break it off,Leela
2127,Well our accommodations arent great but it sure is beautiful out here,Leela
2128,Yeah its pretty romantic Uh I mean platonic ThThat sure is one platonic view,Fry
2129,Fry just be quiet Im beginning to think this whole fake fiancé thing was a terrible terrible,Leela
